jbin,bin,dglaciation,N,dEtemp,dmerT,dtemp,domega,daLTS,dERH,dmerRH,daRH,dXRHi,dmerwindspeed,dmerQV,dfdust,dSO4,dmerBC,dmerOC,dmerdust,dfBC,dfOC,dDMS,dSS
2,1,-2.8961116252373,2620,-0.00307262763466528,-0.0547261742491362,0.0243958390984768,-0.00227146766890693,0.433372110915123,0.554675961298878,-0.175074075665163,-0.162128140236273,-0.206549049396558,-0.0113142851482169,-1.47247729380237e-05,18.1671931473952,51.5879094064471,4.73323404913296,49.8422708996997,351.839814530354,3.99841834030163,2.54873028100403,-444.800131171634,4.65115333904519
2,2,-0.753810365081598,13767,0.0278672971425429,0.11334877708577,0.130006683510493,0.00181885150186173,0.164047933680337,0.58167098183064,-0.0790508544870483,0.0999254396215573,-0.015668427248012,0.139168176971375,1.29930626847545e-05,-11.8093550084202,29.0779185765459,2.65484872000705,21.9479536990392,182.023332135471,1.42537333063865,-21.7087146605403,-83.032920180605,2.20533273588095
2,3,0.242263265068896,19942,-0.00910510524137132,-0.0430054858003095,-0.000265664796893451,0.00265796490728864,0.202339913675041,-0.0506613809081921,-0.0730123945111219,0.058901706603374,0.0643694896202347,-0.0130109178865044,-1.04936119607419e-05,1.90110042807268,40.2790627863659,4.14017148863359,42.9402399647471,251.661147079927,1.56271144036195,-5.08108415160204,-203.9870298277,3.06395108161229
2,4,1.31063571645583,12481,0.0879322766919252,-0.00877147415144169,0.0200147706019377,-0.000156935752100812,0.193554430621457,-0.0827450608417195,-0.0889639668270895,-0.0110894700132865,-0.0368072418320204,-0.360447347358096,-5.41905153799983e-06,-2.54391438959542,42.1593156531306,6.26038027135426,76.3634915886431,281.156728034987,1.50424811898716,-11.946468963727,-83.6064405219778,3.68318226257533
2,5,2.50786513447345,9739,0.0874962590784935,-0.0899616510246101,0.0648903868733543,-0.000947248049917762,0.507919212321763,-0.0855604888406101,-0.0518327629101259,0.0240989026810934,-0.0410595890644859,0.531668931610888,-1.73271980356994e-05,-15.473832950923,53.2832497966089,5.39784464710171,54.2875064973088,312.511378131567,2.69157099896858,-8.85237820486743,-51.6771707060544,2.35087829665664
2,6,4.34043602406352,1669,-0.147910186311955,0.102601624481697,-0.0420089238012033,0.0171900456993373,0.645417937899987,0.368151874677836,0.00369853228161603,0.263290246658965,0.339956911284985,1.1882231029583,1.07287376084048e-05,-59.4727255985916,79.3093572298143,5.79343380834911,48.5735782140674,503.766913444688,-4.82228877908626,-46.0104840916769,-1215.66070485883,5.9925671315618
2,7,6.59402341370158,839,0.235911966544109,-0.219964383439842,-0.178688185264505,0.0274829182025235,0.592622170588441,-0.578216596719112,-0.514263216906449,-0.943044963261516,-0.865288672091348,0.885467161059389,-6.20189773129368e-05,-57.3529668046381,111.039897928144,12.7705715860308,116.290034566291,1334.57930991471,0.415868132407677,-140.952025588875,-2974.21152884232,16.4825914391727
2,8,8.2642052662354,1883,-0.0981948250431206,-0.332416472647196,-0.191959885539627,-0.0012610400817366,0.387985447044568,-3.11575545789591,-0.160685089729725,-0.0245743186492575,0.17793407004799,-0.124828012493197,-6.69885309342414e-05,-5.9517785354067,52.8550241246703,5.72236752641221,67.1097711883195,316.485536711798,3.02731099311704,-24.0155262038393,71.0503557798036,4.75854786574548
3,2,-1.27305391438861,2532,-0.0266318414502897,-0.475790759318281,-0.109913359950336,0.00476630349733073,0.34403629191597,-3.14930074450445,-0.213340451398941,-0.809867770953206,-0.827706454427459,-0.0541307502901143,-8.25288340394223e-05,20.8291967282582,126.316795741249,9.45353418190512,80.6944885642053,880.121326113888,5.93483538288977,-15.9608410352518,-710.955089938058,21.2892722295272
3,3,0.340747077274036,2066,-0.168393300465994,-0.307582474505307,-0.224515195515649,0.00703289613020883,0.477395831310424,-2.41562121293981,-0.203877895589926,-0.312914837576838,-0.133075790386676,-0.0828967245221861,-4.44650503140391e-05,1.38467684203426,72.3858918079319,8.11058620922498,67.2387654487716,753.742464374979,2.52940501114336,-41.3369622475865,-62.2273053285608,6.74624704531612
