lonbin,latbin,zbin,N,meandust,mean_overlap,fmid,area
-35,63,3,25964,1536.37136520762,0.00702802482455731,1.63984205342059,242615.807744197
-35,63,4,70467,1698.94755552389,0.00214062215204683,2.67781487431626,242615.807744197
-35,63,5,42089,1743.27381119744,0.00609155214854298,4.63990874482814,242615.807744197
-35,63,6,29349,1614.25043865852,0.00592039088950157,6.57328124572427,242615.807744197
-35,63,7,16542,1444.53645430487,0.00562317002192987,8.32586550688948,242615.807744197
-35,63,8,9435,1002.38433110412,0.00114990648358828,9.93481954716378,242615.807744197
-28,63,1,37851,1357.30239937839,0.0641554204703594,0.472094550349206,242615.807744197
-28,63,2,83070,1458.78202177595,0.0311332569820735,1.04700232767693,242615.807744197
-28,63,3,32940,1612.05884309783,0.0149815379949147,1.63936912007983,242615.807744197
-28,63,4,88713,1754.77129043324,0.00365596684702457,2.6771538682639,242615.807744197
-28,63,5,53634,1733.16576417522,0.0046083598642262,4.63545616184896,242615.807744197
-28,63,6,36726,1587.0361596634,0.0060332398562174,6.56449819048361,242615.807744197
-28,63,7,21080,1351.1394258134,0.00427677977521036,8.33901474793523,242615.807744197
-28,63,8,12246,967.663557141612,0.00358838125058852,9.93187838852275,242615.807744197
-28,70,1,10284,1616.67448125607,0.00861285364320999,0.527229558835647,172938.15604629
-28,70,2,30611,1791.75173389243,0.00523732483550406,1.06996437174542,172938.15604629
-28,70,3,19292,1827.47155106181,0.00479617147509893,1.66355857088871,172938.15604629
-28,70,4,42077,1818.31242907637,0.00218763193039141,2.72949273417059,172938.15604629
-28,70,5,23043,1805.47727793095,0.00255463582224687,4.70983164018849,172938.15604629
-28,70,6,15510,1712.48237196871,0.00310981149005948,6.63276444259437,172938.15604629
-28,70,7,7790,1479.82861467845,0.0025877192901401,8.37233388925731,172938.15604629
-28,70,8,4932,1030.76183754775,0.00800262066634057,9.95821482380096,172938.15604629
-21,70,1,52429,1600.15161524827,0.00797156799909378,0.499429756274126,172938.15604629
-21,70,2,124126,1687.16696070257,0.00325298684751101,1.04948679542213,172938.15604629
-21,70,3,51718,1834.93119859699,0.00190080960997257,1.63745921306034,172938.15604629
-21,70,4,134657,1848.20832494508,0.000786107507693955,2.67919829107722,172938.15604629
-21,70,5,82711,1747.57750325912,0.00368633369339648,4.63567078031808,172938.15604629
-21,70,6,54192,1584.35908791073,0.00371387595576809,6.55254902504087,172938.15604629
-21,70,7,29821,1373.90341011331,0.00348455720972528,8.31815297837972,172938.15604629
-21,70,8,18476,994.438763290977,0.0047988581649044,9.92219145549833,172938.15604629
-14,70,1,31776,1556.59129351761,0.0184897610112462,0.50145194491543,172938.15604629
-14,70,2,80170,1647.67681881049,0.00739698800264296,1.04843865582272,172938.15604629
-14,70,3,30615,1894.59586253831,0.00367432515447875,1.63445166605342,172938.15604629
-14,70,4,86376,1955.6470905373,0.00137235465728232,2.67298311503238,172938.15604629
-14,70,5,52894,1895.72205779773,0.0029177085895321,4.63716575692082,172938.15604629
-14,70,6,36203,1722.82576517374,0.00454727943704605,6.55513099672307,172938.15604629
-14,70,7,20493,1471.31720146068,0.00550831860185803,8.33315518243725,172938.15604629
-14,70,8,12170,999.071975793938,0.00380205792834825,9.92028617130928,172938.15604629
21,77,1,23557,1326.51190253235,0.00939548397677319,0.499605207097588,79321.9804197979
21,77,2,56356,1556.92014432822,0.00478176496239968,1.05208619671503,79321.9804197979
21,77,3,23539,1862.32015174193,0.00329298470778126,1.63215774199051,79321.9804197979
21,77,4,64479,1975.73779331819,0.0015936316851608,2.68113727477347,79321.9804197979
21,77,5,38464,1732.04113618148,0.00160482371751847,4.62885985650556,79321.9804197979
21,77,6,25170,1615.74373239304,0.0013371657609875,6.53116049909444,79321.9804197979
21,77,7,13727,1439.26735853273,0.00532196023595155,8.2905645664182,79321.9804197979
21,77,8,8956,998.453646632481,0.00423298655012231,9.90211327451678,79321.9804197979
-56,63,1,27045,1557.53326996418,0.0331069149478667,0.489873225953491,242615.807744197
-56,63,2,59247,1667.28701087849,0.0180755983462693,1.04568212706763,242615.807744197
-56,63,3,26459,1741.44474867403,0.00868835891328104,1.63681080651028,242615.807744197
-56,63,4,65330,1767.23318365463,0.00329165790189058,2.6915936700816,242615.807744197
-56,63,5,39771,1718.23354846722,0.00360169757936213,4.66383767498771,242615.807744197
-56,63,6,28047,1549.36673965193,0.00346120781023866,6.60076969710058,242615.807744197
-56,63,7,15074,1325.39772420089,0.00770173771599035,8.34233302424349,242615.807744197
-56,63,8,8657,1008.45257020401,0.00682325884521389,9.93363967692104,242615.807744197
-21,77,1,48084,1520.65922794145,0.00568546118266757,0.51076107922454,79321.9804197979
-21,77,2,113043,1664.25121546662,0.00324817607676257,1.05736233601632,79321.9804197979
-21,77,3,53575,1797.5115566358,0.00255909304299811,1.64279738238699,79321.9804197979
-21,77,4,129954,1851.20317861501,0.0014692619553886,2.70197841404275,79321.9804197979
-21,77,5,76489,1806.16650367938,0.00136552837582484,4.65323258602014,79321.9804197979
-21,77,6,50405,1676.37911427221,0.00134732592134064,6.53444940867402,79321.9804197979
-21,77,7,26956,1498.05798327362,0.00309612834881956,8.26264153318664,79321.9804197979
-21,77,8,18532,1001.29466649564,0.00128057833609944,9.893139842069,79321.9804197979
-14,77,1,41511,1476.25913318942,0.00586759877109907,0.516613582882913,79321.9804197979
-14,77,2,104436,1535.6617060393,0.0018817692045269,1.05733915510605,79321.9804197979
-14,77,3,45031,1774.29512124378,0.00165317914312279,1.63465070943478,79321.9804197979
-14,77,4,121531,1742.1390445175,0.00150693706848495,2.69410347460527,79321.9804197979
-14,77,5,72088,1693.49052014328,0.00166904976895881,4.64619566964304,79321.9804197979
-14,77,6,47945,1518.38947131297,0.00288645350017488,6.52223392558928,79321.9804197979
-14,77,7,25579,1362.7874059854,0.00372504245896772,8.24458037438854,79321.9804197979
-14,77,8,16956,951.15348058002,0.00398059377286114,9.8910790087355,79321.9804197979
-7,77,1,25830,1313.69405511438,0.00597014253550061,0.525710752522922,79321.9804197979
-7,77,2,71637,1374.98463750937,0.00268590753098099,1.05755063167651,79321.9804197979
-7,77,3,30748,1705.89062846568,0.000609449499231117,1.63424500416984,79321.9804197979
-7,77,4,85124,1734.9035367879,0.000456270019336635,2.69643665599021,79321.9804197979
-7,77,5,50069,1680.32591400891,0.00171989510070903,4.65114939053052,79321.9804197979
-7,77,6,33758,1503.61030372159,0.00327373160125009,6.51631262133987,79321.9804197979
-7,77,7,18509,1314.72169046197,0.00458471924480634,8.24563928347305,79321.9804197979
-7,77,8,12072,920.831089678879,0.0032962161031296,9.88353285936238,79321.9804197979
-63,56,1,15922,1529.54262483563,0.0291352136087488,0.492923022784475,308513.300022754
-63,56,2,39993,1572.30292589124,0.0226234816323817,1.04550386424283,308513.300022754
-63,56,3,15031,1759.07676631083,0.0186338097562532,1.63227142757913,308513.300022754
