lonbin,latbin,zbin,n_mer,meandust_mer,mean_overlap_mer,fmid_mer,area,n_flex,meandust_flex,mean_overlap_flex,fmid_flex
112,77,3,17169,2554.71934446467,0.0116061612934788,1.63406877976357,79321.9804197979,7590,1092.44435573123,0.0125965744400527,1.25
112,77,4,48208,2172.81577562579,0.00343437861129398,2.68989186431702,79321.9804197979,7590,586.259006587615,0.00904769433465086,1.75
112,77,5,27928,2084.49588340557,0.00199831804315238,4.64176423217328,79321.9804197979,7934,274.819391227628,0.00275081925888581,3
112,77,6,17927,2021.39481356473,0.00227533873432912,6.52934163661133,79321.9804197979,7035,220.571755508173,0.00210554371002132,5
112,77,8,7441,1146.18275251979,0.00196688752325702,9.87432021767855,79321.9804197979,5557,494.18452042469,0.00133849199208206,9
112,77,7,10323,1806.78144813601,0.00185142329229704,8.32446471380418,79321.9804197979,5569,317.058694559167,0.00179655234332914,7
-35,63,1,27301,1379.64717657819,0.0457033872865158,0.476640686696486,242615.807744197,144,290.058194444444,0,0.3866875
-35,63,2,64729,1471.58618856652,0.0190126481148991,1.04811425780166,242615.807744197,22116,695.830917435341,0.029028757460662,0.750184933984446
-35,63,3,25964,1536.37136520762,0.00702802482455731,1.63984205342059,242615.807744197,11244,603.577861081466,0.0128344005691925,1.25019343649947
-35,63,4,70467,1698.94755552389,0.00214062215204683,2.67781487431626,242615.807744197,11244,466.015692813945,0.00564532194948417,1.75019343649947
-35,63,5,42089,1743.27381119744,0.00609155214854298,4.63990874482814,242615.807744197,11250,297.679501333333,0.00276146666666667,3.00019333333333
-35,63,6,29349,1614.25043865852,0.00592039088950157,6.57328124572427,242615.807744197,10405,215.778339259971,0.00626684286400769,5.0001796251802
-35,63,7,16542,1444.53645430487,0.00562317002192987,8.32586550688948,242615.807744197,9503,243.826294854257,0.00596022308744607,7.00018141639482
-35,63,8,9435,1002.38433110412,0.00114990648358828,9.93481954716378,242615.807744197,7281,340.623141052053,0.00204381266309573,9.00016288971295
-28,63,1,37851,1357.30239937839,0.0641554204703594,0.472094550349206,242615.807744197,487,1431.03706365503,0.0687310061601643,0.393689938398357
-28,63,2,83070,1458.78202177595,0.0311332569820735,1.04700232767693,242615.807744197,28448,1133.74643665636,0.0436991001124859,0.750595929415073
-28,63,3,32940,1612.05884309783,0.0149815379949147,1.63936912007983,242615.807744197,14342,927.425708408869,0.0243173894854274,1.25065018825826
